Exhibition,Description,Category,Medium,Admission,Date Range,Start Date,End Date,Place,Link,Address,Latitude,Longitude,Geocoordinates
Circles and Circuits I: History and Art of the Chinese Caribbean Diaspora ,"

The first of a two part exhibition, this collection features art of the Chinese Caribbean diaspora from the 1930s to present day and reveals the hidden complexities of the transcultural nature of the Caribbean.

Circles and Circuits explores the art of the Chinese Caribbean diaspora from the early 20th century to the present day. By examining the contributions of artists of Chinese descent in Cuba, Panama, Trinidad and Tobago, Jamaica, and beyond, the exhibition will reveal the hidden complexities of the transcultural art of the Caribbean. The exhibition will be presented at two venues, the Chinese American Museum (CAM) and the California African American Museum (CAAM). The presentation at CAAM will trace the history of Chinese Caribbean art from the 1930s through the period of the region’s independence movements, showcasing the contributions of artists little known outside their own countries, such as Sybil Atteck (Trinidad and Tobago) and Manuel Chong-Neto (Panama), and providing a new context for understanding the better-known work of Wifredo Lam (Cuba). At CAM, the exhibition will focus on the work of contemporary artists such as Albert Chong and María Magdalena Campos-Pons, as well as artists of the ongoing Chinese Caribbean diaspora. The contemporary works featured explore issues of post-colonial history, popular culture, personal history, and the body.
","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Free,"September 15, 2017 - February 25, 2018 ",9/15/2017,2/25/2018,California African American Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Circles-and-Circuits-I-History"">Link to PST Site</a>","600 State Drive, Exposition Park
Los Angeles, CA ",34.014509,-118.2855463,"34.014509, -118.2855463"
LA RAZA ,"

This exhibit explores how bilingual newspaper La Raza provided a voice to the Chicano Rights Movement, positioning photography not only as an artistic medium but also as a powerful tool of social activism.

Published in Los Angeles from 1967-1977, the influential bilingual newspaper La Raza provided a voice to the Chicano Rights Movement. La Raza engaged photographers not only as journalists but also as artists and activists to capture the definitive moments, key players, and signs and symbols of Chicano activism. The archive of nearly 25,000 images created by these photographers, now housed at the Chicano Studies Research Center at UCLA, provides the foundation for an exhibition exploring photography’s role in articulating the social and political concerns of the Chicano Movement during a pivotal time in the art and history of the United States. LA RAZA will be the most sustained examination to date of both the photography and the alternative press of the Chicano Movement, positioning photography not only as an artistic medium but also as a powerful tool of social activism.
",Art and Activism,,Ticketed,"September 16, 2017 - January 01, 2019 ",9/16/2017,1/1/2019,Autry Museum of the American West ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/LA-RAZA-Autry-Museum"">Link to PST Site</a>","4700 West Heritage Way Los Angeles, CA",34.1486203,-118.2812131,"34.1486203, -118.2812131"
Visualizing Language: Oaxaca in LA ,"

This exhibition and associated programming celebrate the Zapotec language and culture of Oaxaca, Mexico, and includes new artwork exploring identity, migration, and the shared cultural experience between LA and Mexico.

The Library Foundation of Los Angeles (LFLA) will present Visualizing Language: Oaxaca in L.A. , an exhibition and associated public programs celebrating the Zapotec language as a key lifeline sustaining shared cultural experience in Mexico, Los Angeles, and beyond. Zapotec is the most widely spoken indigenous language in Mexico’s southern state of Oaxaca, and Los Angeles is home to the largest population of indigenous Oaxacans outside of Mexico. Visualizing Language: Oaxaca in L.A. will recognize the importance of the Oaxacan presence in Southern California and explore contemporary realities of indigenous culture. The project will include an installation in the Los Angeles Central Library’s Rotunda by Oaxacan artist collective Tlacolulokos, a short documentary by Oaxacan filmmaker Yolanda Cruz, and a series of 60 public programs across Los Angeles with visual artists, scholars, poets and writers. Programs, many of which will be multi-lingual, will be presented as part of LFLA’s acclaimed ALOUD literary and performance series and as community workshops in select locations of the Los Angeles Public Library.
",Definitions of Identity," Architecture & Design, Film & Video, Installation, Murals, Painting ",Free,"September 16, 2017 - January 31, 2018 ",9/16/2017,1/31/2018,Los Angeles Central Library,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Visualizing-Language-Oaxaca%20in%20LA"">Link to PST Site</a>","630 W. Fifth Street
Los Angeles, CA ",34.0506708,-118.2551963,"34.0506708, -118.2551963"
The Words of Others: León Ferrari and Rhetoric in Times of War,"This exhibit features the work of Argentinian artist León Ferrari, best known for his
 politically charged collages that challenged authoritarianism of all 
types, from the Argentinian dictatorship and the Catholic Church to the 
US war in Vietnam.

REDCAT will explore the work of acclaimed Argentine artist León
 Ferrari, who died in 2013 at the age of ninety-two. The voice of a 
generation, Ferrari is best known for his politically charged work that 
challenged authoritarianism of all types, from the Argentinian 
dictatorship and the Catholic Church to the U.S. war in Vietnam. REDCAT 
will focus on Ferrari's literary collages using appropriated texts, 
which represent a kind of experimental writing at the intersection of 
visual arts, performance, theater, literature, and activism. The 
centerpiece of the exhibition will be a series of restagings of 
Ferrari’s landmark 1966 work  Palabras Ajenas (The Words of Others). 
 Previously staged only twice, in 1968 and 1972, this literary collage 
is an imaginary dialogue among 160 historic figures, composed of 
fragments from contemporary news-wires and historical texts. For its 
staging of  The Words of Others,  REDCAT has produced a new English translation based on intensive research in Ferrari’s archives.",Art and Activism,,Free,"September 16, 2017 - December 31, 2017 ",9/16/2017,12/31/2017,,""">Link to PST Site</a>","631 W. 2nd Street
Los Angeles, CA ",34.0550997,-118.2505889,"34.0550997, -118.2505889"
Pacific Standard Time: Live Arts LA/LA Festival,"This 11-day international festival of performance art highlights influential artists from Latin America and Southern California in a wide-ranging program that activates multiple locations throughout Los Angeles.

Organized by REDCAT, Pacific Standard Time: Live Arts LA/LA Festival is an eleven-day performance art festival taking place from January 11 through 21, 2018, with a number of Los Angeles area artists and arts organizations (to be announced at a later date). The festival will include a wide range of performance artists and works, presented in multiple locations across the city, with performances and happenings that both reflect contemporary practice and revive important historical works of performance and public engagement in Latin America and Los Angeles. Full descriptions of events, including dates and locations, will be available online in summer 2017.",Film/Music/Dance Series,Performance,,"January 11, 2018 - January 21, 2018",1/11/2018,1/21/2018,REDCAT (Roy and Edna Disney/CalArts Theater) ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Live-Art-Latin-America"">Link to PST Site</a>","631 W. 2nd Street 
Los Angeles, CA",34.055891,-118.250074,"34.055891, -118.250074"
Anna Maria Maiolino ,"

This first US retrospective of the work of Brazilian artist Anna Maria Maiolino brings together over five decades of paintings, drawings, videos, performances, sculptures, and large-scale installations to chart the path of an extraordinary artist.

The Museum of Contemporary Art will present the first major survey exhibition in the U.S. of Anna Maria Maiolino, one of the most influential Brazilian artists of her generation. Maiolino was born in Italy in 1942 and emigrated with her family to Venezuela as a teenager. In 1960 she moved to Brazil to attend the Escola Nacional de Belas Artes in Rio de Janeiro, where she began to develop a body of work in dialogue with abstraction, minimalism, and conceptualism. Her work was profoundly influenced by the aftermath of the Second World War, the military dictatorship in Brazil, and her experience as an artist during the period when what could be called art changed dramatically. The exhibition will cover Maiolino’s entire career, from the 1960s until the present, bringing together early experimental prints, drawings, films, performances, and installations, including her recent large-scale ephemeral installations made with unfired, hand-rolled clay. Maiolino’s work is uniquely capable of tracing the course of the movements that define Brazilian art history, channeled via a personal, psychologically charged practice that charts her own introspective path as much as it opens on to large philosophical questions of repetition and difference, the transient and the permanent, and aesthetic problems such as solid and void and the intimate relationship between drawing and sculpture.
",Definitions of Identity," Film & Video, Installation, Mixed Media, Painting, Performance, Prints & Drawing, Sculpture ",Ticketed,"August 04, 2017 - November 27, 2017 ",8/4/2017,11/27/2017,"MOCA (Museum of Contemporary Art, Los Angeles) ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Anna-Maria-Maiolino-MOCA"">Link to PST Site</a>","250 South Grand Avenue
Los Angeles, CA ",34.0533741,-118.2504631,"34.0533741, -118.2504631"
Anna Maria Maiolino ,"

This first US retrospective of the work of Brazilian artist Anna Maria Maiolino brings together over five decades of paintings, drawings, videos, performances, sculptures, and large-scale installations to chart the path of an extraordinary artist.

The Museum of Contemporary Art will present the first major survey exhibition in the U.S. of Anna Maria Maiolino, one of the most influential Brazilian artists of her generation. Maiolino was born in Italy in 1942 and emigrated with her family to Venezuela as a teenager. In 1960 she moved to Brazil to attend the Escola Nacional de Belas Artes in Rio de Janeiro, where she began to develop a body of work in dialogue with abstraction, minimalism, and conceptualism. Her work was profoundly influenced by the aftermath of the Second World War, the military dictatorship in Brazil, and her experience as an artist during the period when what could be called art changed dramatically. The exhibition will cover Maiolino’s entire career, from the 1960s until the present, bringing together early experimental prints, drawings, films, performances, and installations, including her recent large-scale ephemeral installations made with unfired, hand-rolled clay. Maiolino’s work is uniquely capable of tracing the course of the movements that define Brazilian art history, channeled via a personal, psychologically charged practice that charts her own introspective path as much as it opens on to large philosophical questions of repetition and difference, the transient and the permanent, and aesthetic problems such as solid and void and the intimate relationship between drawing and sculpture.
",From Abstract to Conceptual Art," Film & Video, Installation, Mixed Media, Painting, Performance, Prints & Drawing, Sculpture ",Ticketed,"August 04, 2017 - November 27, 2017 ",8/4/2017,11/27/2017,"MOCA (Museum of Contemporary Art, Los Angeles) ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Anna-Maria-Maiolino-MOCA"">Link to PST Site</a>","250 South Grand Avenue
Los Angeles, CA ",34.0533741,-118.2504631,"34.0533741, -118.2504631"
CDMX: Music from Mexico City,"These programs highlight Mexico City’s colorful music scene with Gustavo Dudamel, Natalia Lafourcade, Café Tacvba, as well as a *Birdman* screening with Antonio Sánchez and more.

The ten day festival will offer a window into Mexico City’s colorful music scenes from orchestral and contemporary programs to folk, pop and film music, including three orchestral programs led by Music and Artistic Director Gustavo Dudamel featuring collaborations with Natalie LaFourcade and Café Tacvba. CDMX will premiere commissions, including Gabriela Ortiz, Felipe Waller and Diana Syrse. Additional concerts will include a screening of González Iñárritu’s Birdman (2014) with live improvisation by drummer Antonio Sánchez, as well as a marathon concert spotlighting renowned and emerging acts of the flourishing Mexico City pop scene.",Film/Music/Dance Series,Performance,,"October 09, 2017 - October 17, 2017",10/9/2017,10/17/2017,LA Phil ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Los-Angeles-Philharmonic"">Link to PST Site</a>","151 South Grand Ave 
Los Angeles, CA
",34.0553393,-118.2498813,"34.0553393, -118.2498813"
"Cuba: Antes, Ahora / Cuba: Then, Now","The Music Center presents Cuba: Antes, Ahora / Cuba: Then, Now, a four-day exploration of traditional and contemporary Cuban music and dance.

The Music Center will present Cuba: Antes, Ahora / Cuba: Then, Now, a four-day exploration of traditional and contemporary Cuban music and dance, including performances by Cuban-based Malpaso Dance Company of works from its repertory. Malpaso will perform to live music by Grammy-award winning jazz composer Arturo O’Farrill. The Music Center will also present artists and art that honor contemporary and traditional Cuban voices in “Sleepless: The Music Center After Hours,” a late-night event featuring Cuban performers such as tres player Pancho Amat; singer, rapper, musician and poet Telmary Diaz; and percussionist Yissy García and her group Bandancha, alongside local and Cuban-American performers and visual artists. A third group of performers will engage directly with audiences in Grand Park with participatory public programs, including Afro-Cuban drumming and dance workshops and a community jam session. Full descriptions of events, including dates and locations, will be available online in summer 2017.",Film/Music/Dance Series,Performance,Varies,"November 30, 2017 - December 03, 2017",11/30/2017,12/3/2017,The Music Center ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Cuba-Antes-Ahora"">Link to PST Site</a>","135 North Grand Avenue 
Los Angeles, CA",34.0566067,-118.2489325,"34.0566067, -118.2489325"
"Recuerdos de un cine en español: Latin American Cinema in Los Angeles, 1930-1960","This film exhibition explores the vibrant Spanish-language film culture of Los Angeles, when films from Cuba, Argentina, Mexico, and Hollywood screened in the long-gone movie palaces of LA’s Latino neighborhoods.

Recuerdos de un cine en español: Latin American Cinema in Los Angeles, 1930-1960 will recreate the Spanish-language film culture of downtown Los Angeles with an extensive program of film screenings. Between 1930 and 1960, Los Angeles played host to a vibrant Latin American cinema culture centered on North Main Street’s Mexican-American neighborhoods, where nearby venues such as the Teatro Eléctrico, the California Theatre, and the Million Dollar Theater showed films originating from Mexico, Argentina, and Cuba. Los Angeles was also a center of production and distribution for Spanish language films. Not only have a number of the downtown cinemas been destroyed or fallen out of use, but virtually all of the films have also fallen out of history, often unpreserved or tragically lost. With Recuerdos de un cine en español , audiences and film historians will rediscover Los Angeles as one of the most important hubs in the Western hemisphere for the production, distribution, and exhibition of films made in Spanish for Latin American audiences.",Film/Music/Dance Series,Film & Video,Ticketed,"September 23, 2017 - December 10, 2017
",9/23/2017,12/10/2017,UCLA Film & Television Archive - Downtown Independent,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Latin-America-Cinema-in-Los-Angeles-1930"">Link to PST Site</a>","251 S. Main Street 
Los Angeles, CA",34.050286,-118.245687,"34.050286, -118.245687"
Eduardo Sarabia: Drifting on a Dream ,"This new installation will revisit the artist’s oeuvre and depict how 
popular culture, personal histories, and ordinary events can be 
metaphors for moments of cultural contact and exchange.",Critiquing Globalism and Modernism,"Film & Video, Sculpture, Installation, Photography, Prints & Drawing",Free,"September 16, 2017 - November 18, 2017",9/16/2017,11/18/2017,The Mistake Room,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Eduardo%20Sarabia%20-%20Mistake"">Link to PST Site</a>","1811 E 20th Street Los Angeles, CA",34.018504,-118.241145,"34.018504, -118.241145"
"¡Murales Rebeldes! L.A. Chicana/o Murals under Siege


","Chicana/o murals in LA express identity, empower communities, and challenge dominant cultural norms, making them targets of censorship and destruction. Through stories of eight murals, this exhibition documents controversy and loss while celebrating artistic and historical contributions.

¡Murales Rebeldes! L.A. Chicana/o Murals under Siege looks at how Chicana/o murals in the greater Los Angeles area have been contested, challenged, censored, and even destroyed. During the late 1960s and 1970s, murals became an essential form of artistic response and public voice for the Chicano Movement, at a time when other channels of communication were limited for the Mexican-American community. The alternative vision of community empowerment these works presented could be transformative for some and deeply unsettling for others. The exhibition will examine a group of murals produced in the greater Los Angeles area in the 1970s to the 1990s that were subsequently threatened or destroyed, including murals by Barbara Carrasco, Roberto Chavez, Willie Herrón, and Sergio O’Cadiz, among others. By presenting this series of case studies, or “mural stories,” LA Plaza de Cultura y Artes, in collaboration with the California Historical Society, will examine how the iconography, content, and artistic strategies of the muralists challenged dominant cultural norms and historical narratives.",Definitions of Identity," Film & Video, Murals, Painting, Photography, Prints & Drawing ",Free,"September 23, 2017 - February 27, 2018 ",9/23/2017,2/27/2018,LA Plaza de Cultura y Artes,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Murales-Rebeldes"">Link to PST Site</a>","501 North Main Street
Los Angeles, CA ",34.0564554,-118.2398448,"34.0564554, -118.2398448"
¡Murales Rebeldes! L.A. Chicana/o Murals under Siege ,"Chicana/o murals in LA express identity, empower communities, and challenge dominant cultural norms, making them targets of censorship and destruction. Through stories of eight murals, this exhibition documents controversy and loss while celebrating artistic and historical contributions.

¡Murales Rebeldes! L.A. Chicana/o Murals under Siege looks at how Chicana/o murals in the greater Los Angeles area have been contested, challenged, censored, and even destroyed. During the late 1960s and 1970s, murals became an essential form of artistic response and public voice for the Chicano Movement, at a time when other channels of communication were limited for the Mexican-American community. The alternative vision of community empowerment these works presented could be transformative for some and deeply unsettling for others. The exhibition will examine a group of murals produced in the greater Los Angeles area in the 1970s to the 1990s that were subsequently threatened or destroyed, including murals by Barbara Carrasco, Roberto Chavez, Willie Herrón, and Sergio O’Cadiz, among others. By presenting this series of case studies, or “mural stories,” LA Plaza de Cultura y Artes, in collaboration with the California Historical Society, will examine how the iconography, content, and artistic strategies of the muralists challenged dominant cultural norms and historical narratives.",Art and Activism,,Free,"September 23, 2017 - February 27, 2018 ",9/23/2017,2/27/2018,LA Plaza de Cultura y Artes,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Murales-Rebeldes"">Link to PST Site</a>","501 North Main Street Los Angeles, CA",34.056431,-118.239641,"34.056431, -118.239641"
Circles and Circuits II: Contemporary Chinese Caribbean Art ,"The second of a two part exhibition, this collection includes contemporary art of the Chinese Caribbean diaspora that reveals the hidden complexities of the transcultural nature of the Caribbean.

Circles and Circuits explores the art of the Chinese Caribbean diaspora from the early 20th century to the present day. By examining the contributions of artists of Chinese descent in Cuba, Panama, Trinidad and Tobago, Jamaica, and beyond, the exhibition will reveal the hidden complexities of the transcultural art of the Caribbean. The exhibition will be presented at two venues, the Chinese American Museum (CAM) and the California African American Museum (CAAM). The presentation at CAAM will trace the history of Chinese Caribbean art from the 1930s through the period of the region’s independence movements, showcasing the contributions of artists little known outside their own countries, such as Sybil Atteck (Trinidad and Tobago) and Manuel Chong-Neto (Panama), and providing a new context for understanding the better-known work of Wifredo Lam (Cuba). At CAM, the exhibition will focus on the work of contemporary artists such as Albert Chong and María Magdalena Campos-Pons, as well as artists of the ongoing Chinese Caribbean diaspora. The contemporary works featured explore issues of post-colonial history, popular culture, personal history, and the body.","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Donations,"September 15, 2017 - March 11, 2018 ",9/15/2017,3/11/2018,Chinese American Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Circles-and-Circuits-II-Contemporary"">Link to PST Site</a>","425 North Los Angeles Street
Los Angeles, CA ",34.0558393,-118.23909,"34.0558393, -118.23909"
"Transpacific Borderlands: The Art of Japanese Diaspora in Lima, Los Angeles, Mexico City, and São Paulo","

Through themes such as homeland, identity, and hybridity, Transpacific Borderlands examines the experiences of selected artists of Japanese ancestry living in Latin America and predominantly Latino neighborhoods of Southern California.

Transpacific Borderlands will expand our understanding of what constitutes Latin American art by highlighting the work of 17 contemporary artists of Japanese ancestry from Lima, Los Angeles, Mexico City, and São Paulo. The exhibition explores the differing historical events and generations of diaspora that have shaped the work of these artists and the fundamental questions their work poses about migration, the fluidity of culture, and what it means to be Nikkei, Latin American, or Latino. In the 20th century, Japanese migrants arrived in large numbers in North and South America. Their experiences differed by country, ranging from strong assimilation in Mexico to cultural hybridity in Brazil to the trauma of wartime incarceration in the United States. Transpacific Borderlands presents artists whose works can be read with and against these histories, including Eduardo Tokeshi (Peru), Madalena Hashimoto Cordaro (Brazil), and Shizu Saldamando (U.S.). Ultimately, Transpacific Borderlands will contribute to a broader reconsideration of identity in a world where the meanings of race and ethnicity are constantly evolving, and where artists often inhabit dynamic transnational spaces.
","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Painting, Prints & Drawing, Sculpture ",Ticketed,"September 17, 2017 - February 25, 2018 ",9/17/2017,2/25/2018,Japanese American National Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/The-Art-of-Japanese-Diaspora"">Link to PST Site</a>","100 N. Central Avenue
Los Angeles, CA ",34.0496327,-118.2386005,"34.0496327, -118.2386005"
"Transpacific Borderlands: The Art of Japanese Diaspora in Lima, Los Angeles, Mexico City, and São Paulo ","

Through themes such as homeland, identity, and hybridity, Transpacific Borderlands examines the experiences of selected artists of Japanese ancestry living in Latin America and predominantly Latino neighborhoods of Southern California.

Transpacific Borderlands will expand our understanding of what constitutes Latin American art by highlighting the work of 17 contemporary artists of Japanese ancestry from Lima, Los Angeles, Mexico City, and São Paulo. The exhibition explores the differing historical events and generations of diaspora that have shaped the work of these artists and the fundamental questions their work poses about migration, the fluidity of culture, and what it means to be Nikkei, Latin American, or Latino. In the 20th century, Japanese migrants arrived in large numbers in North and South America. Their experiences differed by country, ranging from strong assimilation in Mexico to cultural hybridity in Brazil to the trauma of wartime incarceration in the United States. Transpacific Borderlands presents artists whose works can be read with and against these histories, including Eduardo Tokeshi (Peru), Madalena Hashimoto Cordaro (Brazil), and Shizu Saldamando (U.S.). Ultimately, Transpacific Borderlands will contribute to a broader reconsideration of identity in a world where the meanings of race and ethnicity are constantly evolving, and where artists often inhabit dynamic transnational spaces.
",Definitions of Identity," Film & Video, Installation, Mixed Media, Painting, Prints & Drawing, Sculpture ",Ticketed,"September 17, 2017 - February 25, 2018 ",9/17/2017,2/25/2018,Japanese American National Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/The-Art-of-Japanese-Diaspora"">Link to PST Site</a>","100 N. Central Avenue
Los Angeles, CA ",34.049286,-118.238257,"34.049286, -118.238257"
Adrián Villar Rojas: The Theater of Disappearance,"Argentine Adrián Villar Rojas debuts an environmental site-specific installation at The Geffen Contemporary at MOCA, the culmination of a three-part global project titled The Theater of Disappearance.

Argentine Adrián Villar Rojas debuts an environmental site-specific installation at The Geffen Contemporary at MOCA, the culmination of a three-part global project titled The Theater of Disappearance .",From Abstract to Conceptual Art,Installation,Ticketed,"October 22, 2017 - February 26, 2018",10/22/2017,2/26/2018,"The Geffen Contemporary at MOCA (The Museum of Contemporary Art, Los Angeles)","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Adrian-Villar"">Link to PST Site</a>","152 North Central Avenue 
Los Angeles, CA",34.0504199,-118.2385548,"34.0504199, -118.2385548"
"Martín Ramírez: His Life in Pictures, Another Interpretation ","The first monographic presentation of self-taught artist Martín Ramírez in Southern California features approximately 50 remarkable drawings collaged from found paper and executed with matchsticks, melted crayons, and other makeshift implements.

ICA LA will examine the work of acclaimed outsider artist, Mexican-born immigrant Martín Ramírez, who was diagnosed with schizophrenia in the 1930s and confined to California state hospitals most of his adult life. During the three decades he spent institutionalized, Ramírez produced a monumental body of work consisting of intricate drawings and collages whose linear rhythm and spatial tension have been compared to the techniques of Wassily Kandinsky, Frank Stella, and Sol LeWitt. His subject matter included horses and riders, Madonnas, saints, trains, and tunnels. This first presentation of Ramírez's work in Southern California will focus on the artist’s iconography and mark-making, his formal connections to mainstream modern art, and the significance of his cultural identity as a Mexican-American. It will also present, for the first time, a 17-foot scroll that comprises a glossary of the artist’s singular imagery and a complete visual narrative of his journey from Mexico to California in the 1920s. Recent examinations of Ramírez’s psychiatric evaluations have called his diagnosis into question, allowing an opportunity to recontextualize his life and work and navigate the unsettled territory between outsider and mainstream art.",Definitions of Identity," Mixed Media, Prints & Drawing ",Free,"September 09, 2017 - December 31, 2017 ",9/9/2017,12/31/2017,"ICA LA (Institute of Contemporary Art, Los Angeles) ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Martin-Ramirez-His-Life-in-Pictures"">Link to PST Site</a>","1717 E. Seventh Street
Los Angeles, CA ",34.0351036,-118.2356412,"34.0351036, -118.2356412"
"Martín Ramírez: His Life in Pictures, Another Interpretation","The first monographic presentation of self-taught artist Martín Ramírez in Southern California features approximately 50 remarkable drawings collaged from found paper and executed with matchsticks, melted crayons, and other makeshift implements.

ICA LA will examine the work of acclaimed outsider artist, Mexican-born immigrant Martín Ramírez, who was diagnosed with schizophrenia in the 1930s and confined to California state hospitals most of his adult life. During the three decades he spent institutionalized, Ramírez produced a monumental body of work consisting of intricate drawings and collages whose linear rhythm and spatial tension have been compared to the techniques of Wassily Kandinsky, Frank Stella, and Sol LeWitt. His subject matter included horses and riders, Madonnas, saints, trains, and tunnels. This first presentation of Ramírez's work in Southern California will focus on the artist’s iconography and mark-making, his formal connections to mainstream modern art, and the significance of his cultural identity as a Mexican-American. It will also present, for the first time, a 17-foot scroll that comprises a glossary of the artist’s singular imagery and a complete visual narrative of his journey from Mexico to California in the 1920s. Recent examinations of Ramírez’s psychiatric evaluations have called his diagnosis into question, allowing an opportunity to recontextualize his life and work and navigate the unsettled territory between outsider and mainstream art.",From Abstract to Conceptual Art,"Mixed Media, Prints & Drawing",Free,"September 09, 2017 - December 31, 2017",9/9/2017,12/31/2017,"ICA LA (Institute of Contemporary Art, Los Angeles) ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Martin-Ramirez-His-Life-in-Pictures"">Link to PST Site</a>","1717 E. Seventh Street 
Los Angeles, CA",34.034881,-118.235298,"34.034881, -118.235298"
"Día de los Muertos: A Cultural Legacy, Past, Present, and Future ","

This exhibit follows the evolution of Self Help Graphics' celebration of Día de los Muertos through historical prints, photographs, and ephemera, tracing the evolution from an indigenous tradition to a remixed fusion of cultures.

Día de los Muertos (Day of the Dead) is an integral part of the cultural and artistic landscape of Los Angeles. Today’s interpretation of the sacred indigenous tradition has been remixed and recycled into a commercial holiday blending Mexican, Latino, and American pop culture iconography with the spiritual aesthetics of the event’s indigenous and Catholic influences. Self Help Graphics (SHG) will trace the evolution of Día de los Muertos in Los Angeles and beyond through an exhibition and publication documenting its four-decade history of art, ritual, and celebration. Since 1972, when SHG organized its first public ritual for Día de los Muertos, its annual commemoration has developed into a complex and unique public observance. Día de los Muertos: A Cultural Legacy, Past, Present, and Future will include historical prints, photographs, and ephemera representing each decade of SHG’s commemorations, as well as three newly commissioned altars from artists Ofelia Esparza (Los Angeles), Gerardo “Acamonchi” Yépiz (Tijuana), and Marcus Kuiland-Nazario (Los Angeles).
",Definitions of Identity," Installation, Photography, Prints & Drawing ",Free,"September 17, 2017 - January 20, 2018 ",9/17/2017,1/20/2018,Self Help Graphics & Art,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Dia-de-los-Muertos-Past-Present-Future"">Link to PST Site</a>","1300 E. 1st Street
Los Angeles, CA ",34.0473649,-118.226468,"34.0473649, -118.226468"
Relational Undercurrents: Contemporary Art of the Caribbean Archipelago ,"

This exhibition defines the Caribbean as an archipelago of islands to emphasize thematic continuities of art and diasporas, challenging conventional geographic and conceptual boundaries of Latin America.

Relational Undercurrents: Contemporary Art of the Caribbean Archipelago will call attention to a region of the Americas that is difficult to categorize and often overlooked: the island nations of the Caribbean. The exhibition proposes an “archipelagic model”—defining the Caribbean from the perspective of its archipelago of islands, as distinct from the continental experience—to study issues around race, history, the legacy of colonialism, and the environment. The exhibition features artists from the Hispanophone, Anglophone, Francophone, and Dutch Caribbean. Relational Undercurrents will emphasize the thematic continuities of art made throughout the archipelago and its diasporas, challenging conventional geographic and conceptual boundaries of Latin America. This approach draws particular attention to issues arising from the colonial legacy that are relevant to Latin America as a whole, but which emerge as central to the work of 21st-century Caribbean artists, including Janine Antoni (Bahamas), Humberto Diáz (Cuba), Jorge Pineda (Dominican Republic), and Allora & Calzadilla (Puerto Rico).
","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Painting, Photography, Prints & Drawing, Sculpture ",Ticketed,"September 16, 2017 - January 28, 2018 ",9/16/2017,1/28/2018,Museum of Latin American Art (MOLAA),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Relational-Undercurrents-Contemporary-Art-Caribbean-Archipelago"">Link to PST Site</a>","628 Alamitos Avenue Long Beach, CA",33.7744158,-118.1798784,"33.7744158, -118.1798784"
How to Read El Pato Pascual: Disney’s Latin America and Latin America’s Disney ,"This is an exploration of Disney’s engagement with Latin American 
imagery and the ways in which Latin American artists responded to, 
played with, reappropriated, and misappropriated Disney’s iconography.",Critiquing Globalism and Modernism,"Film & Video, Mixed Media, Painting, Prints & Drawing",Free,"September 09, 2017 - December 16, 2017",9/9/2017,12/16/2017,The Luckman Fine Arts Complex at Cal State L.A.,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Disney-Latin-America"">Link to PST Site</a>","5151 State University Dr., Los Angeles, CA ",34.0620391,-118.1736587,"34.0620391, -118.1736587"
